ProductId,ProfileName,Summary,Text,
B0025ULYKI,SimpleSins,Tasty Chips,"I confess, I was originally looking at a different ""name"" brand, but they were out of the salt and vinegar, which is the only flavor I eat.  I had never even heard of Uncle Ray's, let alone tried them, but the price was reasonable and it helped me qualify for free super saver shipping.  I am happy to say I was very pleasantly surprised with these chips.  Somehow or another, even though they just seem to be in a normal box, when I opened that first bag I had a nice mix of big chips and little chips.  The salt and vinegar blend well, so much so that the flavors sometimes sneak up on you-- it sometimes seems that with the first crunch you taste salt and the second crunch gives the vinegar.  In any case, they're terrific.  I was a little reluctant about buying a somewhat large quantity of an unknown product, but I'm very glad I took the chance.",
B0025ULYKI,"Texas Jack ""T J""",Great chips!  Great flavor!,"It's difficult to purchase ""no-salt"" potato chips at most retail stores, so I ordered a case of 3 ounce bags of Uncle Rays.  They are great.  Not oily and they taste great.  You get the potato flavor instead of just salt.  I'll be buying these from now on!",
B0025ULYKI,"Jonella A. Moore ""artbellamama""",Uncle Ray's BBQ chips are the best!,"We can rarely find these potato chips where we live, so I decided to find them online to satisfy our cravings. We cannot be happier with the ordering from Amazon! The chips arrived fast and in a box that protected them from crushing. Excellent and will be ordering again!",
B0025ULYKI,The Hot King Jr,They were so good until more people bought them and now meh,These had heat and had good enough coating of the seasoning. The first 2 cases were amazing best i had ever. Then they restocked and tried 4-5 cases and they taste either like plain chips or slight hint of seasoning on them. What a shame they seemed to cut back on quality to save money. Bad Uncle Ray!,
B0025ULYKI,cameokid,"Ketchup powdery coating excessive, overdone gritty","The flavor combination of the ketchup chips was very good.  However, the coating was applied so heavily that the chips were gritty, and thickly encrusted with it. The flavoring grit coated my lips and mouth with grit and crumbled and fell off all over my clothes.  Messy and unpleasant.  Needs lighter flavor coating.",
B0025ULYKI,"Thomas A. Roberts ""tomrgalvtx""",Good chips--nothing special,"The Uncle Ray's BBQ Potato Chips are comparable to Lays or most commonly available chips in local markets.  The BBQ spice ia a bit too much; the one pound bags consisted of about half broken chips.  I won't think about buying these again, even with the discounted price and will pay a bit more for a much better kettle fried potato chip.",
B0025ULYKI,onlyme,PLEASE!!!!!Don't waste your money,"Bought Uncle Ray's Wavy's 16 oz potato chips because purchased  Uncle Ray's 16 oz barbque potato chips in the past and was very pleased. Oh how wrong we were.  Do not purchase the Wavy's chips!!!!!!!!!!  They are the quality of buying a no name bag of chips from a roadside service station store; broken, brown, very poor quality.  Very, very disappointed.  DO NOT DO NOT DO NOT purchase Uncle Ray's 16 oz Wavy potato chips OCTOBER 03, 2012 Bought Uncle Ray's sour cream and onion flavored chips for the 5th shipment with extreme disappointment. The other (4) four shipments were very good which is why we continued to buy this flavor. The additive that when you like an item and start to buy a lot, it will change for the worse is proving to be true for us.  This shipment of chips are awful.  Bags are extremely deflated, so was expecting to be stale; however, was not so - cannot not explain the semi-flat bags.  Chips seem to be the bottom of the barrel flakes.  You know when you try to salt your food and the top comes off, the seasoning on these chips is like that.  It appears that the top came off a full bottle or these are the bottom of the barrel crumbled chips where the seasoning has covered the chips too, too much. .  We just opened (3)three bags just now because the first bags was awful, opened second bag - awful, opened 3rd bag - also was awful.  LEFT WITH 6 MORE ,PROBABLY NOT EDIBLE, BAGS. THE CHIPS REALLY APPEAR TO BE THE NOT SO FRESH, BURNED/BOTTOM OF THE BARREL, GET RID OF LEFTOVERS.  VERY, VERY, DISAPPOINTED.  WILL NOT BUY AGAIN!!!!!!!!!!!!!!!!!!!!!!",
B003UDV9SG,Research Hound,Good brand of food,"I have now tried both the Ocean Fish and Tuna and the Duck and Chicken variety of this food.  My cat seems to prefer the taste of the duck and chicken a little better, but I will probably rotate them both because of the health benefits he's gotten (especially from the ocean fish and tuna) that have included a softer coat and less scratching and biting of himself and shedding.  Also, with this food, he doesn't drink much water, but still goes potty alot, so I feel good that he's getting plenty of fluids in his diet.  My only complaint with this brand, and why I only give it 4 stars, is that it has little pieces of potato? and whole peas in it, which my cat eats around and ends up being wasteful, which I don't like given the price.  Not that big of a deal, but it is a minor inconvenience that I have to clean leftover bits out after each feeding as opposed to just washing his empty bowl daily.  (In case you are wondering, it is approximately 4 to 6 whole pea/1.5 pea size potato? bits per 1/4 to 1/2 can.)",
B00469VHRG,Ketchupman,Rave reviews for my favorite vegetable!,Who doesn't like vegetables that are portable and at a great price?  Can't beat the convenience at about 4 cents per package!,
B002N2XXUC,"Chelas Cakes & Fruit Arrangements ""Chela""",Metallic & Pearl Sheen Airbrush colors,"Everything AmeriColor that I have purchased works great! I was looking for some lighter tone colors, everything I had was pretty bright. These sheen colors are light with a pretty sheen, it's great! Thank you!",
B002N2XXUC,Lisa D. King,Love these colors,"I love the metallic and sheen colors.  In a photo, the items airbrushed with the silver and gold look real.  The sheen really kicks the color up a notch.",
B002N2XXUC,"Jackquiline D. Jolliffe ""Jackie jolliffe""",lovely,ordered these for my daughters wedding cake overnight so that i would get them the next day they came four days after wedding but they are nice,
B0028SWACS,"A. Dent ""Aragorn""",Quality white tea with added unusual flavors,"Just in case, if anyone doesn't know what WHITE tea is, as opposed to green or black, let's quote Wikipedia: ""white tea is fast-dried, while green tea is roasted in an oven or pan (while kept moving for even curing). Oolong and black teas are fermented before curing."" What does it mean? For me, it translates into my favorite beverage to start the day with and to keep me going through the day. Objectively and scientifically speaking, white tea is said to have more anti-oxidants and less caffeine so, in my view, it's overall better than coffee or the black or green varieties. This particular product, while it comes in tea bags, it's not exactly your 'supermarket' variety. Unlike the cheap teas, black, green, herbal or white that are delivered crushed inside paper bags, the 'Choice' brand is delivered in pyramid shaped, biodegradable, nylon-like bags that ensure that what you get is actual leaves, not some indistinct crushed powder. This being a white tea, 'delicate' and 'subtle' and the required adjectives to use but they may not apply in this case. I found the added flowers to be a little too strong, bordering to overpowering for my taste. The Lychee and Osmanthus aromas can be an acquired taste - think of sweet, green apples for an equivalent more familiar aroma. If it's not 'love at the first sip', give it some time and you may not only tolerate it but prefer it to other flavors. Or not. INGREDIENTS: - organic, fair trade certified White Tea  - natural Lychee flavor  - organic Osmanthus flavor  - contains caffeine The somewhat off-balance added flavors and the premium price are not likely to turn me into a repeat customer. Time will tell but at this time 3 stars (meaning 'it's Okay') seem to be the fair rating.",
B0028SWACS,"a metaphysician ""of erudition""",Smells like Heaven ,"As soon as I opened the teabag envelope, the smell was truly Divine Nasal Candy .  As good as the bag and the lingering scent on the envelope smelled, the tea proved to be rather bitter.  I may have steeped it too long, so will see if the bitterness abates steeping less.  However, as I prefer milk or cream products in flower teas, the bitterness was soon dispelled with a little soy creamer and an enjoyable cup was had.  Lychee is truly a wonderful flavor for tea.  I suspect the flowers added to this lychee tea may contribute to the bitterness in the straight tea.  Will definitely reorder.",
B0028SWACS,"R. W. ""RW""",Sublime Fragrance and Taste,"If you're looking at Choice tea, you're probably already aware that this extraordinary company was a pioneer in the use of organic, fair trade ingredients for tea.But Choice is also innovative both in design and in creative ingredient combinations. As for design, Lychee White is part of Choice's new line, characterized by an innovative biodegradable pyramid-shaped tea bag which allows for the use of regular loose tea leaves. As for creative ingredient combinations, this healthy white tea is enhanced by the ethereal marriage of natural lychee flavor and sublime organic osmanthus blossoms. The flavor and scent is one to savor and celebrate.",
B0028SWACS,careful shopper,one of the best,"Sent very prompty, tea is delicious, will continue to use this company with great enthusiasm.",
B0028SWACS,Annaliese Franzen,Delicious,I loved this tea! It is refreshing and delicious with or without sweetener. A great buy! I would definitely recommend this product!,
B001KVLDBI,J. Mohr,All cherry - I couldn't find it in stores.,"3 boxes, under $6 each for all cherry - great buy.  I couldn't find all cherry in the store and don't really care for the other flavors.",
B001KVLDBI,ADB,Who could say no to a blow pop!,Almost 150 Charms Blow Pops for less the 10 cents each.  These are great for bribing my children and a trip down memory lane.,
B000UUYOPW,"Nikki ""Nikki""",Beefeaters Swizzles Tripe 7-8 inch PACK OF 6,"Be careful!  I ordered a pack of 6, my invoice says pack of 6, but I received only 1 stick.",
B000UUYOPW,"Danielle M. Karaszkiewicz ""Dani""",NOT 6 pieces.,"Even though the item says ""Pack of 6,"" I only received one. I called them up to see where the other 5 were, and they said that Amazon put it incorrectly. Seriously?? They are issuing a refund, but still. I wanted 6, which is what the item says, and instead and only getting the 1. Should we just not trust what's on Amazon now???",
B003UDSXU8,jaime b.,jolokia salsa review,this salsa is definitely one for the books!! A perfect blend of the jolokia pepper and seasonings that made this the perfect dip for half-time.. Grown men crying because it's soooo hot is a small price to pay for this awesomeness in a jar  perfect for my cream cheese dip too! A+ across the board.,
B003UDSXU8,Zachary A Wallace,Spicy,"This salsa was delicious. It was very spicy as I'm sure you've guessed, but was also pretty dang tasty. It was a bit sweeter than I prefer my salsa and given the price I don't think it is something I would eat with any frequency but definately worth the novelty and if sweet and spicy salsas are your thing, you just might end up loving it!",
B003UDSXU8,VincePSP,One of the best salsas!!,"Nice combination of ingredients so that it is VERY hot, yet still has great flavor. It has a little added sugar, which adds a nice bit of sweetness to the mix. For the hotter salsas, you really can't go wrong with this. This is one of my top four favorites, which include Mrs. Renfros hot salsa, Screaming Sphincter and Pain is Good #37.",
B003UDSXU8,Mustache Mystery,The mouth is strong the anus is weaker,"I am very acustom to spicy foods and this has a very rich flavor. Half the bottle was devoted to given people my ""not so hot salsa "" reactions amazing . Worth the money! as for me eating it the title says it all",
B002OHOC6A,Eric Nichols,My cats love it,"My cats (7 of them) love this food so I was glad to see Amazon is carrying it again. The local stores do not carry a 15 lb bag, only the 3.5lbs and 12 lbs. This food is sealed very well, and is fresh. I have tried expensive brands and really cheapo brands of cat food, and so far 9 lives agrees very well with my cats. This food does not ""rifle"" through them or cause overly offensive litter pan odors (like cheapo cat food) and their digestive and urinary tracts are all healthy. My cats ages range from 3 years to 18 years old, and believe me, this 9 Lives brand and flavor are something they all like. The price is a really good deal especially for prime as the shipping is free. I also buy the Iams in the orange bag for my cats for a variety and putting some of that in a bowl dry as well as wetted down with water in another bowl is something they really love. Again, no intestinal issues or litter pan issues as they have been eating this combination for several years now. If you do try this, or switch your cat(s) over, be patient as it may take a week or so for your cats digestive system to adjust. In the end, I think you will be very pleased with the quality and price. Also, we used to take in foster cats, and fed them this 9 Lives brand, and they all did very well.",
B002OHOC6A,charluce,cat food,my cats favorite cat food he is very pickey and will not eat a lot of different cat foods but he loves this one,
B002OHOC6A,Hiker/Biker/Climber,Cat Digs It!,"I used to buy this at Target but it's cheaper at Amazon My cat goes crazy when I get out the bag so I know she loves it. Cheap to boot, also! I don't really stress out about which exact ingredients are in cat or dog food. I figure it's all pretty decent so why not save a little money ",
B002OHOC6A,Rom Gin,Great Value,"There are 4 kittens that started hanging outside the house and I started feeding them.  Rather than buying the smaller bags, this is a great value for multiple cats.  The kittens love the food and always look forward to eating it.  Shipped right to your door.  Can't go wrong with that!",
B002OHOC6A,Marlene,"9 Lives Daily Essentials 15 pound bag cat food. Good food, good price.","I purchase 2 15 pound bags of 9 Lives Daily Essentials a month for my daughter's cats. They love it. She says they often gather around the carton and wait for her to open it. They know what's in there and can't wait for it to be opened. If the cats love it, we love it. Isn't that how it goes?",
B002OHOC6A,leah m orourke,Great deal,My cats love this food. For the money it is a great product. I get it every month.  The cats love the flavor.,
B002OHOC6A,"Linda M. Johnson ""LinnyLouWo""","Low quality ingredients, but ","As the ingredients contained in this food are not the optimal food sources essential to a cat's well being, I don't actually feed my cats this dry food. Corn is the first ingredient, which is a food my cats really don't crave.  There is a meat source as the second ingredient, but unfortunately, it is a by-product.  Although there are a couple of other meat sources listed in the ingredients, the addition of artificial preservatives and coloring make this cat food a less than desirable food staple for any cat. However, the Amazon price is good and with Amazon prime 2-day free shipping directly to work, this is a very convenient food for the shop cats I feed.  While the ingredients aren't the best, feeding it along with canned food, it is a balanced diet and seems to keep the shop cats healthy.",
B002OHOC6A,Karen Edwards,Cats love it,"I have 6 feral cats that I trapped, neutered/spayed and released.  They still hang around our property so of course we feed them.  They really like 9 lives and I believe it is good for them.  Being old and my husband handicapped, it is so easy for us to have it delivered right to our door step instead of wrestling with the bags at the store and unloading when we get home.  I am very satisfied with the product and Amazon.  The subscribe and save option is even better as I don't have to remember to order it.",
B002OHOC6A,"J. Chung ""US of A""",Cats Love this food.,My two cats love this cat food more than the kirkland signature brand.  It's also very cheap and affordable cat food at walmart. I would recommend this cat food over meow mix or friskies any day.  Get 9lives dry cat food.  It's one of the better brands out there.,
B002OHOC6A,CSLibrarian,Hard to please kitty LOVES it,One of my kitties is a complete snob when it comes to food and she loves this. Great product to buy.,
B002OHOC6A,Natalie.143,My cat hates it..,"My cat will NOT eat this food. I don't know why, but it was a waste of money. I was looking for something cheap so I guess you get what you pay for.",
B002NVPPHC,al,i love candy,i love these pop.  these are rather small pops about 1/2 the size of a tootsie pop.  they come in many flavors.  i think this bag is great in the long run.  300 just think Halloween.,
B002NVPPHC,"Rena ""Rena""",the best!,dum dum lolly pops are the best! they come i lots of kinds and tast really good!,
B001ELL7JM,Y. Muthafar,Non Alcoholic..,"This stuff is great if you're looking for a non-alcoholic vanilla extract yes this is really a vanilla extract not just a flavor like the essence stuff. I read somewhere on the net that the only reason they can't call it an extract is because it wasn't extracted by alcohol so legally they have to call it a flavor.  The smell and color are gorgeous plus its fair trade certified, the texture is a little bit like honey, I think it's the glycerin. Going to buy again for sure.",
B001ELL7JM,"tamaruni ""tamaruni""",yummy!,"Not paying attention, I thought this product was simply vanilla extract when I purchased it, tried it in my coffee, and got a shock. Yummy!  I had to go examine the bottle, and realized my yummy mistake.  I wonder what glycerin is, what it's made of ? is it a fat?  At any rate, it is delicious!",
B001ELL7JM,C. DiAntonio,bland,I like the fact that this vanilla flavor has no alcohol in it so i could add it to my baby's pancakes.  It does not taste the same to me as the regular stuff.  It is rather bland in my opinion.,
B001ELL7JM,S. Tesler,Tastes Great,"I prefer the taste of this over the alcohol-based vanilla extracts, particularly in uncooked items and beverages. It has a fairly thick/syrupy consistency.",
B004SR97LO,Eric Indiana,"Raw, Organic, Fair Trade, Tastes Great","Raw, Organic, Fair Trade, Tastes Great  What's not to love? My hope is that as more people buy their amazing chocolates that the price will come down a bit.",
B004OHKJWE,Stacia Wagner,Arrived broken and isn't eligible for return?,"I just received these bricks today and was very disappointed to find that BOTH of the bricks were broken and unusable as a serving/cooking plate.  They were busted completed in half. They were packaged in one sleeve of small bubble wrap in a shallow box with no other protection or packaging in the box.  I went online to try and return them and they are not eligible for return.  This is the first return I've ever tried to do in over 7 years of purchasing items off of amazon (to the tune of several orders a month!) and yet the one time that I want to return a defective product, I can't do it.  I will be much more careful about what is eligible for returns and what isn't in the future.",
B0017WFN4S,Dakota Lynx,Like tiny light flavored peanut halves .,"Excellent in cereal, or on top icecream sundae. I use them in my ramen noodle hot/sour soup as well.  very very GOOD.  almost a lite peanut flavor.  not too much salt, very lightly seasoned. a must try for anyone wanting a low calorie addition of protien into diet.  even the dog loves them. thinks they are some special treat.",
B004134H9W,Peter R.,Items in this Gift Basket were bad -- old and stale,"Items in this Gift Basket was delivered to people who called me to say ""could not eat any of it, because everything was old and stale.""  I was sad and disappointed. Time and effort, as well as money to get this, only to find out - terrible.",
B004134H9W,LG,Dried UP,Very disappointed with purchase.  The dates were so dried up where it tasted like leather instead of dates.  Must have been sitting there for a long long time.,
B004134H9W,"Richard Aston ""Graveyard""",Mostly dry,"I ordered three of the trays (being a date nut) and found that two were old or stale. I admit to not checking the out-of-date on the exterior package, but still - dried out fruit.?! The last tray was fresher, but the experience was soured at that point. I'm disappointed.",
B004134H9W,"Verminator ""VerMin""",Like to gamble? Buying the St. Patty's Dried Fruit Basket is a Crap-Shoot,"Buying this product seems to be almost literally like rolling the dice in a game of craps! My experience with this seems to be similar to the experience of ""Peter R."", unfortunately. The price was excellent.  I ordered mine after the date of "" J. Robert Bois'"" positive experience / review was written but before the date of ""Cindy 2366's"" positive experience / written review.  I bought these & gave them to my Dad, as he *LOVES* dates.  I noticed when I was visiting him, the dried fruit basket was hanging around in his 'fridge a lot longer than any other date basket I had ever ordered for him. Finally I asked him about them.  He said that he did not want to be rude to me or hurt my feelings but .  the dates, well, he was wondering if he should try & eat the seeds in the center & see if they were soft, because the dates themselves were hard as a rock & tasted stale.  I was mortified to say the least   Then he wanted to know (jokingly) if he had done something to make me mad & I bought these for him as his punishment.  (No, but I had to laugh when he asked about that.)  Me personally, I have not tried them.  I will take his word for it!  :) I told him to throw it away or put it out for the squirrels.  After a week of offering the dates,  I picked them up out of his backyard and threw them away.  The squirrels, opossums, & raccoons declined to dine on the dates. It seems to be hit or miss with the ""Broadway Basketeers Irish St. Patrick's Dried Fruit Gift Basket"" purchase. I will not say flat out ""NO!  Do Not Purchase This Item, It is Not Good!""  That is a choice you will have to make on your own.  I just wanted to pass along my experience with the gift basket. Thank Goodness I caught it when it was on special & did not have the full current purchase price invested in the box!  I would have been really sad then! Amazon, as usual, did a fabulous job with the shipping, packaging, and they arrived quickly, in the time frame advertised / promised. Best of luck & I hope others have better experiences than my Dad / I had! <a href=""http://www.amazon.com/gp/product/B004134H9W"">Broadway Basketeers Irish St. Patrick's Dried Fruit Gift Basket</a>",
B004134H9W,"cindy2366 ""simbasmom2001""",Nice and Fresh,"Bought this for my mom for her birthday, she was dying to open it so we could all try it. It was nice and fresh and everything tasted great! Wish I had bought one for myself!",
B004134H9W,J. Robert Bois,Absolutely Delicious,"These dates were absolutely delicious. I was a little bit worried because the one product review that it had was only one star. But as I looked at all the other date reviews, the trend seemed to be bad reviews in the Fall timeframe. I had these delivered mid-January and must say they were quite exquisite. Many thanks for a great treat at a large dinner party.",
B007NWPB70,Rebecca Bladon,Just ok,This tea is a new flavor of black tea by Tazo. It's better than some other brands but not even close to beIng as good as their old flavor of black tea with citrus (which they took off the market). I don't think this tea is worth sending away for because you can buy it locally in most grocery stores.,
B007NWPB70,sunclov,Best Iced tea,"Expensive, but worth it, and Ive tried every Iced tea out there. Lipton is pretty good too, but this is the best!! Tetleys sux, and many other Iced teas like Bigelow are terrible, but this is great! Like the coffee shop",
B000084E1U,Eric Hochman,Cats love it!,"I have nine cats and they are crazy about these kibbles! The last thing you want is 20lbs of cat food the cats hate, but I'll be buying them more of this ",
B003JNWQPC,Wileybowmaker,Vendor ripped off all of their cultures from other vendors,This vendor is unscrupulous. She ripped off her cultures from other collectors and shamelessly claims them as her own. She has no conscience and I would highly recommend that you do your purchasing elsewhere.,
B001DR488E,"D. Murray ""It's All About Bandwidth""",The BEST!!!!,I have used your product for years and find myself in a town where they are sold only in very small bottles.  I am used to buying your product by the half gallon and would like to make my purchases online.  I have tried using other products which pale in comparison to your Original Barbecue Sauce.,
B004IF3TAQ,Stacey L. Rice,Perfect for hard licorice lovers!,"If you like soft licorice, these cats aren't for you. A perfect anise-y balance of salty and sweet, these little licorice kitties are perfect! You pop one (or several) in your mouth and let them melt a bit before you embark on your flavorful chewy journey.  Hard exterior. Lasts forever if you suck on them. Everlasting licorice Katjes!! Very fresh. Super fast shopping too. Thank you guys!",
B004IF3TAQ,Mommyohs,Not nearly as good as Bissinger's French Long,"After searching for a more constant and less expensive supply of ""real"" licorice over my favorite (more about that later), I decided to try this one based upon other reviews and the description. I have to say that I was disappointed. It is not intense enough and a bit too salty for my preference since all that I noticed was salt and more salt until it got down to the licorice flavor which I would charactize as ""modest"". My all time favorite licorice was discovered years ago while visiting a St. Louis mall has been and remains an excellent choice made by Bissinger's Chocolate Company and they call it French Long Licorice. It is not noticeably salty and packed with flavor without being a sicky-sweet candy. I say that and caution licorice lovers to know their favorite ""type"" of licorice; this is important when reading reviews and purchasing. I was looking for something not American-style junk candy, with actual licorice extract not anise, chewy, lasting, with true strong licorice flavor and no other flavor overtones. As far a Bissinger's is concerned, they do not make this licorice year round nor advertise it on their website or in their catalogs so you have to call their toll free number and ask if it has been in production. It is expensive but well worth it for excellent flavor and lasting ability (I can enjoy one for at least 15 minutes if I don't chew). These are my favorite thing to have when reading a great book and I limit myself to 2 at a sitting for my ""fix""; okay, sometimes 3 if it is a superb book:D.  The last time I ordered it they were generous and added a pound of their premium chocolate as a thank-you for being a customer that troubled to find their particular product because I do not live near one of their stores and unless I visit say St. Louis (where it is headquartered) I have to mail-order.Anyway, I prefer my licorice hard and let it soften in my mouth so when I get an order ($56 for 2lbs) I leave it out lightly wrapped for a few days to harden off. That makes it last longer in my mouth and does not affect flavor but that it personal mouth feel preference. It frezes without problems so I will just have to go back to that and pay for my pleasure and stock up :). Licorice-gotta have it!",
B004IF3TAQ,Connie Handel,dense licorice flavor,Very firm small pieces with an intense licorice flavor. I love black licorice and have been trying different gluten free options. I will be ordering more of this one.,
B004IF3TAQ,"Golf Widow ""golfwidow""",Kind of stale,"I don't know whether it was a fault in the packaging or if they were just past their prime, but they were rock hard and the flavor was not strong enough.",
B000IUOBMA,Roxanne,Must Have Been Spoiled,"This was a disappointment.  I use other products from this line/manufacturer on a regular basis.  I bought this item as a convenience to carry liquid Stevia in my purse.  The first time I went to use it, the liquid was a dark color almost black..and I had to throw out the latte I was trying to sweeten.  All the manufacturer's other liquid products are clear, and, in fact, this is titled ""clear liquid"".  It must have been outdated/spoiled. I had already thrown the packing out, so don't know how it was dated.  I tried calling the Amazon supplier, but the call rolled into voice mail.  It's not enough money to spend time following-up, but it was disappointing.",
B001HTI226,a work in progress,Bisphenol A,Cans are lined w/ material that contains BPA which means the effort to grow the tomatoes organically was a waste of time. 12-5-10  I didn't see the liner when I opened a different can from the same case.  I'm scratching my head.,
B001HTI226,Christie Hall,Spectacular tomatoes,"These tomatoes taste like home canned. When summer is over and heirloom tomatoes no longer are available at the farmers market, these serve as an excellent reminder of the past season and a promise of the next. I originally bought these organic tomatoes for my stepfather, whose heart disease dictated a low sodium diet. And they are incredibly low in sodium. But I soon bought them for myself after I tried them just once. When the local organic grocery store and then Sprouts stopped carrying them, I turned to Amazon for a case. They are as much a staple in my pantry as olive oil.",
B001HTI226,Sincerely Yours,Next best thing to fresh tomatoes,"the ingredients are simple and pure and one of the few brands that does not add unnecessary additives.  Generally I like to make my own sauce from scratch, but this is my second choice if I am short on time.  Its taste good and not artificially sweet.  I love the bionaturae products including the tomato paste.",
B001HTI226,Michael D,Excellent tomatoes,"These are the best canned tomatoes I have tasted. They have a fresh flavor, similar to home-canned. This is my second time buying a set. They are a little more acidic/bright, and have a rounder flavor than other tomatoes. Comes with a basil leaf in each can. Note, the 28 oz tins are a better value than the 14 oz ones.",
B001HTI226,Firstsnow,Ok,"These arent diced, its just mush, But I like the no bpa and would buy again for that reason- but dont expect diced.",
B004XRJ1W4,CheckOut,Gummy Bears,"Well one of my friends asked for a really big bag of gummy bears, she was very pleased when she opened the box. Than her co-worker really like these gummy bears to.",
B004MTMYNQ,Jinx11111,Too addicting,I have been eating these since about 5 years old and are my favorite chips in the world! just dont eat too many of them!,
B004MTMYNQ,Just Me,Yummmmy,"I love these chips and couldn't contain my happiness when I recieved my box!! Love them, if you love spicy foods get these!!",
